few_shot_pct,class_name,pretrained_mean_dice,pretrained_std_dice,pretrained_n,random_mean_dice,random_std_dice,random_n
1,gm,0.739677,0.119991,30,0.714087,0.146862,30
1,wm,0.322472,0.198984,30,0.227506,0.183013,30
5,gm,0.813163,0.062547,30,0.710150,0.155965,30
5,wm,0.492970,0.210797,30,0.191327,0.207005,30
25,gm,0.880490,0.049484,30,0.870495,0.051874,30
25,wm,0.683390,0.119416,30,0.665766,0.119246,30
50,gm,0.887729,0.037365,30,0.872985,0.047903,30
50,wm,0.695641,0.121792,30,0.683408,0.106962,30
100,gm,0.897094,0.034300,30,0.893130,0.034910,30
100,wm,0.705449,0.115736,30,0.703744,0.115805,30
